#nom;cmd goldelox;cmd picaso;cmd diablo16;arguments en entrée;Valeurs de retour;commentaires paramètres en entrée;commentaires paramètres en sortie;commentaires fonctionnement
#;si vide : pas implémenté pour le type d’écran;;;uint16_t par défaut, sinon le type est spécifié entre (). vide si pas D’arguments;si précédé d’un ‘ :’ → signifie que la valeur est retournée sur diablo16 et picaso, mais pas sur goldelox;;;
gfx_clipWindow;0xFFBF;0xFFB5;0xFF6A;tlx,tly,brx,bry;ack;tlx,tly :  top left corner of the clipping window, brx,bry : bottom right corner of the clipping window.;;Specifies a clipping window region on the screen such that any objects and text placed onto the screen will be clipped and displayed only within that region. For the clipping window to take effect, the clipping setting must be enabled separately using the “Clipping” command
gfx_setClipRegion;0xFFBC;0xFFB3;0xFF68;;ack;;;Forces the clip region to the extent of the last text that was printed, or the last image that was shown.
gfx_ellipse;;0xFFB2;0xFF67;x,y,xrad,yrad,colour;ack;x,y : center of ellipse, xrad : x-radius of ellipse, yrad : y-radius of ellipse, colour : colour of the ellipse.;;Plots a coloured Ellipse on the screen at centre x, y with x-radius = xrad and y-radius = yrad.
gfx_ellipseFilled;;0xFFB1;0xFF66;x,y,xrad,yrad,colour;ack;x,y : center of ellipse, xrad : x-radius of ellipse, yrad : y-radius of ellipse, colour : colour of the ellipse.;;Plots a solid coloured Ellipse on the screen at centre x, y with x-radius = xrad and y-radius = yrad.
gfx_button;;0x0011;0x0011;state,x,y,buttoncolour,txtcolour,font,txtWidth,txtHeight,(const char *) cstr;ack;"state : appearance of button, 0 = depressed; 1 = raised, x,y : top left corner position, buttoncolour : button colour, txtcolour : text colour, font : font ID, txtWidth : text width (font width multiplier, minimum must be 1) , txtHeight : teext height (font width multiplier, minimum must be 1), cstr : text string, printable ASCII character set Null terminated. May have \n characters to create a multiline button.";; Draws a 3 dimensional Text Button at location defined by parameters. Size depends on font, width, height and length of text. Can contain multiple lines of text by having \n character in the string. In this case, the widest text in the string sets the overall width, and height is set by the number of text lines. In case of multiple lines, each line is left justified. To centre or right justify text, prepare string according to requirements.
gfx_panel;;0xFFAF;0xFF5F;state,x,y,width,height,colour;ack;"state : appearance of panel, 0 = recessed; 1 = raised, x,y : top left corner position of the panel, width : width of the panel ,height : height of the panel, colour : colour of the panel.";;Draws a 3 dimensional rectangular panel
gfx_slider;;0xFFAE;0xFF5E;mode,tlx,tly,brx,bry,colour,scale,(int16_t)value;ack;mode : 0 = Indented, 1 = Raised, 2 = Hidden (background colour), tlx,tly : top left corner position, brx,bry : bottom right corner position ,colour : colour of the slider, scale : full scale range of the slider for the thumb (0 to n), value : relative position of the thumb on the slider bar;;Draws a vertical or horizontal slider bar. Mode operation rules : if width > height slider is assumed to be horizontal, if height <= width slider is assumed to be vertical, If value parameter is positive, thumb is set to the position that is the proportion of value to the scale parameter. If value parameter is negative, thumb is driven to the graphics position set by the ABSolute of value. Thumb colour is determine by the “Set Graphics Parameters” – “Object Colour” command, however, if the current object colour is BLACK, a darkened shade of the colour parameter is used for the thumb .
gfx_screenCopyPaste;;0xFFAD;0xFF5D;xs, ys, xd, yd, width,height;ack;xs, ys : position of the top left corner of the area to be copied (source), xd, yd : position of the top left corner of where the paste is to be made (destination), width : width of the copied area, height : height of the copied area.;;Copies an area of the screen from xs, ys of size given by width and height parameters and pastes it to another location determined by xd, yd.
gfx_bevelShadow;;0xFF98;0xFF3C;value;ack,oldBevel;value : number of pixel, 0 = No Bevel Shadow, 1-4 = Number of Pixels Deep (default = 3);oldBevel : previous bevel shadow status.;Changes the graphics “Draw Button” commands bevel shadow depth
gfx_bevelWidth;;0xFF99;0xFF3D;value;ack,oldWidth;value : 0 = No Bevel, 1-15 = Number of Pixels Wide (Default = 2);oldWidth : previous bevel width status.;Changes the graphics “Draw Button” commands bevel width
gfx_bgCcolour;0xFF6E;0xFFA4;0xFF48;colour;ack,:oldCol;colour : colour to be set (0-65535 or HEX 0x0000-0xFFFF);oldCol : previous background Colour.;Sets the screen background colour
gfx_outlineColour;0xFF67;0xFF9D;0xFF41;colour;ack,:oldCol;colour : colour to be set (0-65535 or HEX 0x0000-0xFFFF), set to 0 for no effect;oldCol : previous outline Colour.;Sets the outline colour for rectangles and circles.
gfx_contrast;0xFF66;0xFF9C;0xFF40 ;contrast;ack,:oldContrast;contrast : 0 = Display OFF, 1 - 15 = Contrast Level;oldContrast : previous Contrast value.;Sets the contrast of the display, or turns it On/Off depending on display model
gfx_frameDelay;0xFF69;0xFF9F;0xFF43;delayMsec;ack,:oldDelay;delayMsec : delay in milliseconds (0-255);oldDelay : previous Frame Delay value.;Sets the inter frame delay for the “Media Video” command
gfx_linePattern;0xFF65;0xFF9B;0xFF3F;pattern;ack,:oldPattern;pattern : 0 = all line pixels are on (Default), 0-65535 (or HEX 0x0000-0xFFFF) = number of bits in the line are turned off to form a pattern;oldPattern : previous Line Pattern value.;Sets the line draw pattern for line drawing. If set to zero, lines are solid, else each '1' bit represents a pixel that is turned off.
gfx_screenMode;0xFF68;0xFF9E;0xFF42;mode;ack,:oldMode;mode : 0 = Landscape, 1 = Landscape reverse, 2 = Portrait, 3 = Portrait reverse;oldMode : previous Screen Mode value.;Alters the graphics orientation (Landscape, Landscape reverse, Portrait or Portrait reverse)
gfx_transparency;;0xFFA0;0xFF44;mode;ack,oldMode;mode : 0 = Transparency OFF, 1 = Transparency ON;oldMode : previous Transparency value.;Turns the transparency ON or OFF. Transparency is automatically turned OFF after the next image or video command.
gfx_transparentColour;;0xFFA1;0xFF45;colour;ack,oldColor;colour : colour to make transparent (0-65535 or HEX 0x0000-0xFFFF);oldColor : previous Transparent Colour value.;Alters the colour that needs to be made transparent.
gfx_set;0xFFD8;0xFFCE;0xFF83;function, value;ack;function, value : see « Serial Commands Reference Manual » of appropriate display processor;;Sets various parameters for the graphics gommands.
gfx_get;;0xFFA6;0xFF4A;mode;ack,value;mode : 0 = Current orientations maximum X value (X_MAX), 1 = Current orientations maximum Y value (Y_MAX), 2 = Left location of last Object, 3 = Top location of Object, 4 = Right location of last Object, 5 = Bottom location of Object;value : Mode=0: horizontal resolution - 1, Mode=1: vertical resolution - 1, Mode=2: left location of the last drawn object, Mode=3: top location of the last drawn object, Mode=4: right location of the last drawn object, Mode=5: bottom location of the last drawn object.;Returns various graphics parameters to the caller.
media_init;0xFFB1;0xFF89 ;0xFF25;;ack,value;;value : Non-Zero = card is present and successfully initialised, 0 = no card is present or not able to initialise.;Initialises a uSD/SD/SDHC memory card for further operations. SD card is connected to the SPI of the processor display.
media_setAdd;0xFFB9;0xFF93 ;0xFF2F;hiAddr, loAddr;ack;hiAddr : high word (upper 2 bytes) of a 4 byte media memory byte address location, loAddr : low word (lower 2 bytes) of a 4 byte media memory byte address location.;;Sets the media memory internal Address pointer for access at a non-sector aligned byte address.
media_setSector;0xFFB8;0xFF92;0xFF2E;hiAddr, loAddr;ack;hiAddr : high word (upper 2 bytes) of a 4 byte media memory byte address location, loAddr : low word (lower 2 bytes) of a 4 byte media memory byte address location.;;Sets the media memory internal Address pointer for sector access.
#media_readSector;;0x0016;0x0016;;ack,status,(uint8_t)sector[512];;status : 1 = successful media response, 0 = attempt failed, sector : 512 bytes (256 words);Reads and returns 512 bytes (256 words) pointed to by the internal Sector pointer, determined by the “Set Sector Address” command. After the read the Sector pointer is automatically incremented by 1.
#media_writeSector;;0x0017;0x0017;(uint8_t)sector[512];ack,status;sector : 512 bytes (256 words) to be written to the media sector address.;status : 1 = successful media response, 0 = attempt failed;Writes 512 bytes (256 words) from a source memory block into the uSD card. After the write the Sect pointer is automatically incremented by 1.
media_readByte;0xFFB7;0xFF8F;0xFF2B ;;ack,value;;value : byte value in the LSB.;Returns the byte value from the current media address, set by the “Set Byte Address” command. The internal byte address will then be internally incremented by one.
media_readWord;0xFFB6;0xFF8E ;0xFF2A;;ack,value;;value : word value;Returns the word value (2 bytes) from the current media address, set by the “Set Byte Address” command. The internal byte address will then be internally incremented by two. If the address is not aligned, the word will still be read correctly.
media_writeByte;0xFFB5;0xFF8D;0xFF29;s;ack,status;s : byte value, in the LSB, to be written at the current byte address location.;status : Non Zero = successful media response, 0 = attempt failed.;Writes a byte to the current media address that was initially set with the “Set Sector Address” command. See « Serial Commands Reference Manual » for more information.
media_writeWord;0xFFB4;0xFF8C;0xFF28;value;ack,status;value : 16 bit word to be written at the current media address location.;status : Non Zero = successful media response, 0 = attempt failed.;Writes a word to the current media address that was initially set with the “Set Sector Address” command. See « Serial Commands Reference Manual » for more information.
media_flush;0xFFB2;0xFF8A;0xFF26 ;;ack,status;;status : Non Zero = successful media response, 0 = attempt failed.;After writing any data to a sector, the Flush Media command should be called to ensure that the current sector that is being written is correctly stored back to the media else write operations may be unpredictable.
media_image;0xFFB3;0xFF8B;0xFF27;x,y;ack;x,y : top left position where the image will be displayed.;;Displays an image from the media storage at the specified co-ordinates. The image address is previously specified with the “Set Byte Address” command or “Set Sector Address” command. If the image is shown partially off screen, it may not be displayed correctly.
media_video;0xFFBB;0xFF95;0xFF31;x,y;ack;x,y : top left position where the video clip will be displayed.;;Displays a video clip from the media storage device at the specified co-ordinates. The video address location in the media is previously specified with the “Set Byte Address” or “Set Sector Address” commands. If the video is shown partially off screen, it may not be displayed correctly. Note that showing a video blocks all other processes until the video has finished showing. See the “Display Video Frame” command for alternatives.
media_videoFrame;0xFFBA;0xFF94;0xFF30;x,y,(int16_t)frameNumber;ack;x,y : top left position of the video frame to be displayed, frameNumber : required frame number to be displayed.;;Displays a video from the media storage device at the specified co-ordinates. The video address is previously specified with the “Set Byte Address” command or “Set Sector Address” command. If the video is shown partially off it may not be displayed correctly. The frames can be shown in any order. This function gives a great flexibility for showing various icons from an image strip, as well as showing videos while doing other tasks.
misc_peekB ;0xFFF6;;;eveReg;ack,value;eveReg : byte register address;value : register value in the LSB.;Returns the EVE System Byte Register value in the lower byte. See EVE System Registers Memory Map in « Serial Commands Reference Manual ».
misc_pokeB ;0xFFF4;;;eveReg, value;ack;eveReg : byte register address, value : register value in the LSB.;;Sets the EVE System Byte Register value in the lower byte. See EVE System Registers Memory Map in « Serial Commands Reference Manual ».
misc_peekW ;0xFFF5;;;eveReg;ack,value;eveReg : word register address;value : registre value;Returns the EVE System Word Register value. See EVE System Registers Memory Map in « Serial Commands Reference Manual ».
misc_pokeW;0xFFF3;;;eveReg,value;ack;eveReg : word register address, value : register value;;Sets the EVE System Word Register value. See EVE System Registers Memory Map in « Serial Commands Reference Manual ».
misc_peekM ;;0x0027;0x0027;address;ack,value;address : address to be peeked;value : contents of the specified memory address.;Returns the word contents of a specified memory address. This command would normally be used to read the contents of File and/or ImageControl handles.
misc_pokeM;;0x0028;0x0028;address,value;ack;address : address to be poked, value : data to be poked into the address;;Sets the word contents of a specified memory address. This command would normally be used to alter the contents of File and/or ImageControl handles.
misc_joystick;0xFFD9;;;;ack,value;;value : value of the Joystick position, 0=Released, 1=Up , 2=Left , 3=Down , 4=Right, 5=Press (5 position switch implementation).;Return the value of the joystick position. Refer to the processor datasheet.
misc_beep;0xFFDA;;;note, duration_ms;ack;note : frequency of the note (0-64), duration_ms : time in milliseconds that the note will be played for.;;Produce a single musical note for the required duration through IO2.
misc_setbaudWait;0x000B;0x0026;0x0026;(int16_t) index;;index : baud rate index value. See index table in « Serial Commands Reference Manual » ;;Set the required baud rate. Please refer to the « Serial Commands Reference Manual ».
sys_sleep;;0xFF3B ;0xFE6D;duration_s;ack,duration;duration_s : Sleep duration (0-65535) approximately in seconds (in sleep mode, timing is controlled by an RC oscillator, so is not totally accurate);ack,duration : remaining time when touch screen is touched, else returns zero.;"Puts display and processor into low power mode for a period of time. If ""duration"" is zero, goes into sleep mode forever and needs power cycling to re-initialize. If ""duration"" is 1 to 65535, display will sleep for that period of time, or will be woken when touch screen is touched. Returns remaining time when screen was touched. When returning from sleep mode, display and processor are restored from low power mode."
sys_memFree;;0xFF24;0xFE5F;handle;ack,status;handle : pointer to the memory block.;status : Non Zero = operation successful, 0 = attempt failed. ;"Releases the memory space used by the the ""Load Image Control"" and ""File Load Function"" commands."
sys_memHeap;;0xFF23;0xFE5E;;ack,avail;;avail : largest available memory chunk of the heap.;Returns byte size of the largest chunk of memory available in the heap.
sys_getModel;0x0007;0x001A;0x001A;;ack,n,(char)str[n];;n : number of characters in the model name to return, str[n] : display module’s model name (without NULL terminator).;Returns the Display Model in the form of a string without Null terminator.
sys_getVersion;0x0008;0x001B;0x001B;;ack,version;;version : SPE Version installed on the module.;Returns the SPE Version installed on the module.
sys_getPmmC;0x0009;0x001C;0x001C;;ack,version;;version : PmmC Version installed on the module.;Returns the PmmC Version installed on the module.
misc_screenSaverTimeout;0x000C;;;timout_ms;ack;timout_ms : Screen saver timeout in milliseconds (1 to 65535, 0 disables the screen saver).;;Set the screen saver Timeout. Default screen saver timeout settings could be adjusted. This feature is display dependent, please refer to module's datasheet.
misc_screenSaverSpeed;0x000D;;;speed;ack;speed : screen saver speed. Range is display dependant. Please refer to module datasheet;;Set the screen saver speed. Default screen saver speed settings could be adjusted. This feature is display dependent, please refer to module datasheet.
misc_screenSaverMode;0x000E ;;;mode;ack;mode : screen saver scroll direction. Display dependant, please refer to module datasheet.;;Set the screen saver scroll direction. This feature is display dependent, please refer to module's datasheet.
touch_detectRegion;;0xFF39;0xFE6A;tlx,tly,brx,bry;ack;tlx,tly : position of the top left corner of the region, brx,bry : position of the bottom right corner of the region.;;Specifies a touch detect region on the screen. This setting will filter out any touch activity outside the region and only touch activity within that region will be reported by the status poll “Touch Get” command
touch_set;;0xFF38;0xFE69;mode;ack;mode : 0=Enables and initialises Touch Screen hardware, 1=Disables the Touch Screen (Touch Screen task runs in the background, disabling it when not in use free up extra CPU cycles), 2 = reset the current active region to default (= full screen area);;Sets various Touch Screen related parameters.
touch_get;;0xFF37;0xFE68;mode;ack,value;mode : 0 = get Status, 1 = get X coordinates, 2 = get Y coordinates.;value : mode0 = returns the various states of the touch screen (0=invalid/notouch, 1=press, 2=release, 3=moving), mode1 = returns the X coordinates of the touch reported by mode0, mode2 = returns the Y coordinates of the touch reported by mode0.;Returns various touch screen parameters, based on the touch detect region set by the “Touch Detect Region” command.
file_error;;0xFF1F;0xFE58;;ack,errno;;errno : error number (0 = no error). ;Returns the most recent error code. See error table in « Serial Commands Reference Manual »
file_count;;0x0001;0x0001;(const char *) filename;ack,count;filename : Name of the file(s) for search (passed as a string). Filename must be 8.3 format.;count : number of files that match the criteria.;Returns number of files found that match the criteria. The wild card character '*' matches up with any combination of allowable characters and '?' matches up with any single allowable character.
file_dir;;0x0002;0x0002;(const char *) filename;ack,count;filename : Name of the file(s) for search (passed as a string). Filename must be 8.3 format.;count : number of files that match the criteria.;Lists the stream of file names that agree with the search key on the Display Screen. The wild card character ‘*’ matches up with any combination of allowable characters and ‘?’ matches up with any single allowable character. Note: “Find First File and Report” and “Find Next File and Report” are recommended alternatives
file_findFirst;;0x0006;0x0006;(const char *) filename;ack,status;filename : Name of the file(s) for search (passed as a string). Filename must be 8.3 format.;status : 1 = at least one file exists that satisfies the criteria, 0 = no file satisfies the criteria.;Returns 1 if at least one file exists that satisfies the file argument. Wildcards are usually used so if the “Find First File” command returns true, further tests can be made using the “Find Next File” command to find all the files that match the wildcard class. Notes : filename is printed on the screen. “Find First File and Report” and “Find Next File and Report” are recommended alternatives in order to return the responses.
file_findFirstRet;;0x0024;0x0024;(const char *) filename;ack,length,(char)str[n];filename : Name of the file(s) for search (passed as a string). Filename must be 8.3 format.;length : Length of the filename string, str[n] : Filename if it exists. Filename string is not NULL terminated.;Returns length of filename and filename if at least 1 file exists that matches the criteria. Wildcards are usually used so further tests can be made using “Find Next File” or “Find Next File and Report” commands to find all the files that match the wildcard class.
file_findNext;;0xFF1B;0xFE54;;ack,status;;status : 1 = at least one file exists that satisfies the criteria, 0 = no file satisfies the criteria.;Returns 1 if more file exists that satisfies the file argument that was given for the “Find First File” or “Find First File and Report” commands. Wildcards must be used for the “Find First File” or “Find First File and Report” commands else this function will always return zero as the only occurrence will have already been found. Note : filename is printed on the screen.
file_findNextRet;;0x0025;0x0025;;ack,length,(char)str[n];;length : Length of the filename string, str[n] : Filename if it exists. Filename string is not NULL terminated.;"Returns length of filename and filename if at least 1 file exists that matches criteria given for the “Find First File” or “Find First File and Report” commands. Wildcards must be used for “Find First File” or “Find First File and Report” commands else this function will always return zero as the only occurrence will have already been found. Wildcards are usually used, so if the “Find First File” or “Find First File and Report” commands return the stringlength and filename, further tests can be made using ""Find Next File and Report"" command to find all the files that match the wildcard class."
file_exists;;0x0005;0x0005;(const char *) filename;ack,status;filename : Name of the file(s) for search (passed as a string). Filename must be 8.3 format.;status : 1 = File found, 0 = File not found.;Tests for the existence of the file provided with the search key.
file_open;;0x000A;0x000A;(const char *) filename, (char) mode;ack,handle;filename : Name of the file(s) for search (passed as a string). Filename must be 8.3 format. Mode : ‘r’ or ‘w’ or ‘a’ (read write, append);handle : return handle if file exists, else internal file error is set;Returns handle if file exists. The file ‘handle’ that is created is now used as reference for ‘filename’ for further file commands such as “File Close”, etc. For File Write and File Append modes ('w' and 'a') the file is created if it does not exist.
file_close;;0xFF18;0xFE51;handle;ack,status;handle :  The file handle that was created by the “File Open” command which is now used as reference ‘handle’ for the filename, for further file functions such as in this function to close the file.;Status : 1 = file closed, 0 = file not closed;The File Close command will close the previously opened file.
file_read;;0x000C;0x000C;size, handle;ack,n,(char)str[n];size : Number of bytes to be read. handle : The handle that references the file to be read.;count : Returns the number of bytes read. data : Data read from the file;Returns the number of bytes specified by ‘size’ from the file referenced by ‘handle’.
file_seek;;0xFF16;0xFE4F;handle, hiWord, loWord;ack,status;"handle The handle that references the file ;HiWord Contains the upper 16bits of the memory pointer into the file. LoWord  Contains the lower 16bits of the memory pointer into the file.";Status : 1 = success, 0 = error;The File Seek command places the file pointer at the required position in a file that has been opened in 'r' (read) or 'a' (append) mode. 
